Modelo,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Multinomial Naive Bayes,0.8200919238345371,0.8784860557768924,0.6743119266055045,0.7629757785467128,0.8730693299268378
Complement Naive Bayes,0.814182534471438,0.8192771084337349,0.72782874617737,0.7708502024291498,0.8730693299268378
Logistic Regression,0.8214051214707814,0.8435251798561151,0.7171253822629969,0.775206611570248,0.8753426730432885
Linear SVM (SGD),0.8200919238345371,0.8253424657534246,0.7370030581039755,0.778675282714055,0.8747109933383306
