Conjunto,Modelo,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Sin negatividad,Multinomial Naive Bayes,0.8200919238345371,0.8784860557768924,0.6743119266055045,0.7629757785467128,0.8730693299268378
Sin negatividad,Complement Naive Bayes,0.814182534471438,0.8192771084337349,0.72782874617737,0.7708502024291498,0.8730693299268378
Sin negatividad,Logistic Regression,0.8214051214707814,0.8435251798561151,0.7171253822629969,0.775206611570248,0.8753426730432885
Sin negatividad,Linear SVM (SGD),0.8200919238345371,0.8253424657534246,0.7370030581039755,0.778675282714055,0.8747109933383306
Con negatividad,Multinomial Naive Bayes,0.8207485226526592,0.8802395209580839,0.6743119266055045,0.7636363636363637,0.8731441109504051
Con negatividad,Complement Naive Bayes,0.8154957321076822,0.8198970840480274,0.7308868501529052,0.7728375101050929,0.8731441109504051
Con negatividad,Logistic Regression,0.8174655285620486,0.8381294964028777,0.7125382262996942,0.7702479338842976,0.8741558542104355
Con negatividad,Linear SVM (SGD),0.8187787261982928,0.8327464788732394,0.7232415902140673,0.7741407528641571,0.8741206631405214
